
Activity Table
RecID","MultiSportSessionRecID","NextSportRecID","StartTime","Sport","TotalTimeSeconds","DistanceMeters","VirtualPartner","PlanName","PlanType","IntervalWorkout","Notes","Creator","
1","","","2011-03-20T19:43:32Z","Biking","","","","""","","","""",""Forerunner305"","
2","","","2011-03-26T14:57:43Z","Running","","","","""","","","""",""Forerunner305"","
3","","","2011-03-13T22:25:59Z","Running","","","","""","","","""",""Forerunner305"","
4","","","2011-03-30T14:01:21Z","Running","","","","""","","","""",""Forerunner305"","
5","","","2011-03-08T14:53:11Z","Running","","","","""","","","""",""Forerunner305"","
6","","","2011-03-11T14:37:24Z","Running","","","","""","","","""",""Forerunner305"","
7","","","2011-03-15T13:41:34Z","Running","","","","""","","","""",""Forerunner305"","
8","","","2011-03-17T13:46:53Z","Running","","","","""","","","""",""Forerunner305"","
9","","","2011-03-28T14:03:39Z","Running","","","","""","","","""",""Forerunner305"","
10","","","2011-03-25T13:39:27Z","Running","","","","""","","","""",""Forerunner305"","
11","","","2011-03-24T14:23:02Z","Running","","","","""","","","""",""Forerunner305"","
12","","","2011-03-11T14:36:54Z","Running","","","","""","","","""",""Forerunner305"","
13","","","2011-03-09T15:09:07Z","Running","","","","""","","","""",""Forerunner305"","
14","","","2011-03-04T16:46:33Z","Running","","","","""","","","""",""Forerunner305"","
15","","","2011-03-03T13:23:53Z","Running","","","","""","","","""",""Forerunner305"","
16","","","2011-03-19T13:57:43Z","Running","","","","""","","","""",""Forerunner305"","
17","1","","2011-03-22T13:52:46Z","Biking","","","","""","","","""",""Forerunner305"","
18","","1","2011-03-22T13:54:20Z","Running","","","","""","","","""",""Forerunner305"","

MultiSportSession Table
RecID","StartTime","Notes","
1","2011-03-22T13:52:46Z","""","

NextSport Table
RecID","MultiSportSessionRecID","
1","1","

ActivityLap Table
RecID","ActivityRecID","NextSportRecID","StartTime","TotalTimeSeconds","DistanceMeters","MaximumSpeed","Calories","AverageHeartRateBpm","MaximumHeartRateBpm","Intensity","AverageCadence","TriggerMethod","Notes","
32","7","","2011-03-15T14:00:37Z","470.4400000","1609.3439941","3.7383337","184","156","170","Active","","Distance","""","
33","7","","2011-03-15T14:10:58Z","463.9600000","1609.3439941","4.1745834","191","168","178","Active","","Distance","""","
34","7","","2011-03-15T14:18:42Z","35.7800000","108.3037109","3.4012499","17","178","179","Active","","Manual","""","
35","8","","2011-03-17T13:46:53Z","583.9700000","1609.3439941","3.4237499","198","147","168","Active","","Distance","""","
36","8","","2011-03-17T13:56:37Z","540.9300000","1609.3439941","3.9195828","232","160","168","Active","","Distance","""","
37","8","","2011-03-17T14:05:55Z","499.5500000","1609.3439941","3.5074999","226","165","171","Active","","Distance","""","
38","8","","2011-03-17T14:15:05Z","467.2000000","1609.3439941","4.0041671","198","168","173","Active","","Distance","""","
39","8","","2011-03-17T14:22:52Z","489.3100000","1609.3439941","4.8550000","203","174","177","Active","","Distance","""","
40","8","","2011-03-17T14:31:01Z","50.5500000","145.8544922","2.9683332","19","178","180","Active","","Manual","""","
41","9","","2011-03-28T14:03:39Z","617.4400000","1609.3439941","3.1804168","197","135","160","Active","","Distance","""","
42","9","","2011-03-28T14:13:57Z","646.6500000","1609.3439941","3.0041671","232","139","150","Active","","Distance","""","
43","9","","2011-03-28T14:24:44Z","91.8500000","230.4794922","2.6254168","38","149","152","Active","","Manual","""","
44","10","","2011-03-25T13:39:27Z","654.3500000","1609.3439941","2.8691666","204","158","179","Active","","Distance","""","
45","10","","2011-03-25T13:50:22Z","610.9400000","1609.3439941","3.0425000","237","145","158","Active","","Distance","""","
46","10","","2011-03-25T14:00:33Z","536.3900000","1609.3439941","3.5391665","213","145","156","Active","","Distance","""","
47","10","","2011-03-25T14:09:30Z","541.6000000","1609.3439941","3.5195832","197","147","157","Active","","Distance","""","
48","10","","2011-03-25T14:18:31Z","97.2400000","254.5922852","2.8062501","44","159","163","Active","","Manual","""","
49","11","","2011-03-24T14:23:02Z","600.5500000","1609.3439941","2.8837502","181","140","165","Active","","Distance","""","
